0,760,519,754,556
3,763,516,753,554
6,759,516,759,556
9,763,521,757,556
12,760,519,757,555
15,765,521,760,555
18,763,519,758,554
21,764,522,758,555
24,764,519,761,557
27,766,519,760,560
30,764,522,760,556
33,764,522,763,558
36,764,522,759,553
39,764,521,759,556
42,760,524,758,560
45,762,519,762,560
48,766,520,759,558
51,763,522,757,557
54,762,522,759,554
57,760,520,758,557
60,760,520,757,558
63,764,517,759,556
66,761,520,757,558
69,761,522,757,558
72,761,520,757,558
75,764,523,758,557
78,762,523,757,559
81,767,522,753,560
84,760,523,756,560
87,761,524,756,563
90,759,518,751,560
93,765,521,757,554
96,761,521,757,556
99,759,519,760,556
102,763,520,754,558
105,757,523,752,557
108,759,521,754,556
111,759,521,753,561
114,759,523,757,557
117,758,525,751,559
120,760,524,755,561
123,765,524,754,560
126,765,522,755,561
129,761,522,757,559
132,765,523,754,561
135,762,523,756,559
138,762,519,759,563
141,757,525,754,563
144,763,528,755,564
147,763,528,756,565
150,758,531,751,564
153,759,533,757,568
156,760,528,758,566
159,759,535,761,564
162,761,538,756,565
165,761,535,757,565
168,761,540,756,566
171,761,539,758,568
174,763,537,758,570
177,767,534,761,572
180,766,532,760,577
183,770,527,757,585
186,771,521,750,591
189,766,522,752,593
192,766,520,754,592
195,771,517,755,590
198,765,524,754,586
201,770,520,754,582
204,766,520,747,579
207,766,521,753,573
210,765,522,759,571
213,763,522,759,571
216,768,523,756,571
219,768,519,754,572
222,767,518,754,567
225,768,518,756,568
228,766,517,755,567
231,768,519,751,569
234,765,523,754,568
237,769,519,754,572
