0,671,429,664,461
3,669,424,667,461
6,672,422,670,465
9,670,423,667,467
12,672,423,669,467
15,673,421,671,466
18,676,424,671,467
21,674,418,667,465
24,677,422,676,465
27,677,425,677,466
30,677,428,675,467
33,678,424,674,467
36,679,425,676,464
39,681,426,675,465
42,680,423,676,462
45,682,422,675,462
48,683,422,675,460
51,680,423,675,462
54,680,423,676,461
57,677,417,675,464
60,679,420,673,462
63,681,422,671,461
66,673,422,670,459
69,676,422,670,458
72,671,423,669,463
75,673,418,666,462
78,672,422,666,462
81,671,420,670,461
84,671,419,666,461
87,673,420,663,462
90,671,417,667,462
93,670,420,669,459
96,670,414,666,463
99,669,417,662,463
102,672,415,664,465
105,668,416,665,460
108,667,415,665,460
111,668,415,662,460
114,669,418,663,458
117,669,414,660,460
120,665,416,662,457
123,667,412,662,460
126,665,412,661,459
129,664,414,662,459
132,662,412,661,459
135,663,417,663,458
138,664,419,662,453
141,663,419,662,456
144,666,418,664,452
147,664,425,664,453
150,665,425,664,452
153,664,422,662,452
156,661,424,662,451
159,660,428,661,455
162,663,426,663,452
165,665,425,663,458
168,665,423,662,462
171,665,418,660,469
174,666,415,660,469
177,664,414,664,471
180,667,415,663,473
183,665,414,664,465
186,668,411,664,469
189,660,418,659,468
192,665,417,663,467
195,665,416,661,469
198,665,412,661,469
201,664,413,661,470
204,664,416,662,466
207,663,415,660,468
210,666,411,661,464
213,666,412,661,467
216,668,418,661,466
219,662,414,663,464
222,666,412,663,466
225,669,413,664,463
228,671,416,667,464
231,666,413,668,460
234,667,416,666,463
237,666,415,667,466
240,664,417,666,461
243,664,412,662,466
246,669,415,670,465
249,670,415,663,464
252,669,411,666,464
255,663,413,668,462
258,666,415,666,462
261,667,415,663,464
264,669,415,667,464
