0,632,387,633,433
3,632,390,632,434
6,631,393,638,437
9,631,390,632,435
12,633,390,630,436
15,631,388,629,438
18,633,386,633,432
21,630,392,634,432
24,630,387,631,431
27,631,389,634,434
30,631,393,631,436
33,629,388,629,434
36,628,388,628,431
39,630,390,629,431
42,630,387,634,435
45,633,387,629,432
48,626,387,629,434
51,628,392,632,434
54,629,389,632,438
57,631,385,630,444
60,629,385,627,451
63,633,384,627,455
66,634,385,624,462
69,631,383,629,465
72,629,388,632,459
75,630,395,631,447
78,630,405,629,425
81,632,409,632,416
84,630,410,630,415
87,632,409,630,412
90,630,409,631,413
93,632,409,627,410
96,628,410,628,410
99,629,408,629,408
102,628,403,630,417
105,634,389,628,450
108,630,381,628,471
111,628,379,629,472
114,629,378,626,475
117,628,376,628,480
120,633,373,627,482
123,629,375,630,482
126,629,370,627,482
129,630,372,629,468
132,631,374,631,454
135,629,377,627,450
138,632,375,626,446
141,631,378,626,446
144,626,372,626,447
147,629,377,626,448
150,629,374,628,449
153,627,378,626,448
156,628,376,625,450
